ID,Grupo,N_nós,Taxa_escala_global,suscetiveis_mean,suscetiveis_median,suscetiveis_iqr,infeccaos_mean,infeccaos_median,infeccaos_iqr,recuperados_mean,recuperados_median,recuperados_iqr,Prev_Minimo_Valor,Prev_Tempo_Minimo,Prev_Maximo_Valor,Prev_Tempo_Maximo,Prev_Final_Valor,Taxa_escala_local,Categoria
s42_g6ae,G6,0.5,0.034,0.907294600642739,1,0,0.04315493,0.03164908,0.05330372,0.04955047,0.0,0.07111111,0.0,753,63.4747474747475,14,0.0,0,rede_completa
s43_g6ae,G6,0.5,0.05,0.846885512537931,1,0,0.07134981,0.03331483,0.1315936,0.08176468,0.08323232,0.109899,0.0,1196,66.1414141414141,10,0.0,0,rede_completa
s44_g6ae,G6,0.5,0.1,0.848013056719332,1,0,0.0710391,0.03498057,0.1338145,0.08094785,0.08282828,0.1284848,0.0,966,72.9292929292929,11,0.0,0,rede_completa
s45_g6ae,G6,0.5,0.15,0.71609577170932,1,0,0.133614,0.03553581,0.3009439,0.1502902,0.1377778,0.02787879,4.12121212121212,734,77.0909090909091,7,8.96969696969697,0,rede_completa
s46_g6ae,G6,0.5,0.35,0.700738422537425,1,0,0.1404145,0.03609106,0.3270405,0.1588471,0.1458586,0.02343434,4.80808080808081,981,81.7777777777778,6,7.83838383838384,0,rede_completa
s47_g6ae,G6,0.5,0.5,0.782984761552221,1,0,0.1015126,0.03498057,0.2215436,0.1155026,0.1377778,0.1551515,0.0,1258,83.2323232323232,6,0.0,0,rede_completa
s48_g6ae,G6,0.5,0.8,0.699440602583301,1,0,0.1413527,0.03442532,0.332593,0.1592067,0.1478788,0.02141414,5.01010101010101,807,84.6464646464647,4,12.3636363636364,0,rede_completa
s1_g1ab,G1,100.0,0.01,0.984579339356401,1,0,0.007269863,0.0,0.007773459,0.008150798,0.0,0.0,0.0,240,27.1317829457364,7,0.0,0,frigorifico
s2_g1ab,G1,100.0,0.034,0.982293787402061,1,0,0.008341619,0.0,0.01138257,0.009364594,0.0,0.0,0.0,242,28.1653746770026,8,0.0,0,frigorifico
s3_g1ab,G1,100.0,0.05,0.983100115210183,1,0,0.007757677,0.0,0.01138257,0.009142208,0.0,0.0,0.0,126,27.6485788113695,4,0.0,0,frigorifico
s4_g1ab,G1,100.0,0.1,0.971132890570413,1,0,0.01280081,0.0,0.01277068,0.0160663,0.0,0.01550388,0.0,831,29.1989664082687,7,0.0,0,frigorifico
s5_g1ab,G1,100.0,0.15,0.981138816075479,1,0,0.008630003,0.0,0.01110494,0.01023118,0.0,0.0,0.0,293,28.9405684754522,3,0.0,0,frigorifico
s6_g1ab,G1,100.0,0.35,0.982467391787795,1,0,0.007417642,0.0,0.01110494,0.01011497,0.0,0.0,0.0,145,31.7829457364341,4,0.0,0,frigorifico
s7_g1ab,G1,100.0,0.5,0.97662366729939,1,0,0.01118672,0.0,0.01193781,0.01218961,0.0,0.007751938,0.0,469,31.266149870801,4,0.0,0,frigorifico
s8_g1ab,G1,100.0,0.8,0.973178839777499,1,0,0.01238904,0.0,0.01193781,0.01443212,0.0,0.01550388,0.0,697,31.7829457364341,4,0.0,0,frigorifico
s9_g2ab,G2,0.05,0.01,0.995354289247863,1,0,0.002216684,0.0,0.0,0.002429027,0.0,0.0,0.0,134,5.42635658914729,3,0.0,0,frigorifico
s10_g2ab,G2,0.05,0.034,0.993621114884496,1,0,0.003002925,0.0,0.0,0.00337596,0.0,0.0,0.0,216,8.01033591731266,19,0.0,0,frigorifico
s11_g2ab,G2,0.05,0.05,0.99555084958543,1,0,0.002259727,0.0,0.0,0.002189424,0.0,0.0,0.0,98,7.49354005167959,12,0.0,0,frigorifico
s12_g2ab,G2,0.05,0.1,0.990862096423606,1,0,0.004353022,0.0,0.0,0.004784881,0.0,0.0,0.0,363,9.04392764857881,10,0.0,0,frigorifico
s13_g2ab,G2,0.05,0.15,0.995555153826398,1,0,0.002200902,0.0,0.0,0.002243944,0.0,0.0,0.0,88,8.52713178294574,7,0.0,0,frigorifico
s14_g2ab,G2,0.05,0.35,0.99407736442717,1,0,0.002604066,0.0,0.0,0.00331857,0.0,0.0,0.0,104,9.81912144702842,6,0.0,0,frigorifico
s15_g2ab,G2,0.05,0.5,0.992524968184486,1,0,0.003483566,0.0,0.0,0.003991466,0.0,0.0,0.0,263,9.30232558139535,4,0.0,0,frigorifico
s16_g2ab,G2,0.05,0.8,0.984256521283754,1,0,0.00725982,0.0,0.0,0.008483659,0.002583979,0.0129199,0.0,829,9.56072351421188,4,0.0,0,frigorifico
s17_g3ab,G3,0.1,0.01,0.99232266885896,1,0,0.003766211,0.0,0.0,0.00391112,0.0,0.0,0.0,216,10.3359173126615,5,0.0,0,frigorifico
s18_g3ab,G3,0.1,0.034,0.990949615989968,1,0,0.003948424,0.0,0.0,0.00510196,0.0,0.0,0.0,147,10.8527131782946,6,0.0,0,frigorifico
s19_g3ab,G3,0.1,0.05,0.984879201477215,1,0,0.007213908,0.0,0.0,0.007906891,0.0,0.01033592,0.0,792,13.1782945736434,13,0.0,0,frigorifico
s20_g3ab,G3,0.1,0.1,0.989550737675165,1,0,0.004612712,0.0,0.0,0.005836551,0.0,0.0,0.0,338,13.4366925064599,10,0.0,0,frigorifico
s21_g3ab,G3,0.1,0.15,0.985088674537689,1,0,0.00711491,0.0,0.0,0.007796415,0.0,0.01033592,0.0,542,14.2118863049096,8,0.0,0,frigorifico
s22_g3ab,G3,0.1,0.35,0.992306886642075,1,0,0.003287005,0.0,0.0,0.004406108,0.0,0.0,0.0,98,13.4366925064599,5,0.0,0,frigorifico
s23_g3ab,G3,0.1,0.5,0.989919467651477,1,0,0.004819315,0.0,0.0,0.005261217,0.0,0.0,0.0,246,15.5038759689922,4,0.0,0,frigorifico
s24_g3ab,G3,0.1,0.8,0.990256633194019,1,0,0.004149288,0.0,0.0,0.005594079,0.0,0.0,0.0,215,15.5038759689922,4,0.0,0,frigorifico
s25_g4ab,G4,0.15,0.01,0.987745825962321,1,0,0.00589968,0.0,0.0,0.006354494,0.0,0.002583979,0.0,463,16.0206718346253,4,0.0,0,frigorifico
s26_g4ab,G4,0.15,0.034,0.988260900131566,1,0,0.005297086,0.0,0.0,0.006442014,0.0,0.0,0.0,145,16.7958656330749,7,0.0,0,frigorifico
s27_g4ab,G4,0.15,0.05,0.982879164173794,1,0,0.008446356,0.0,0.0,0.00867448,0.0,0.01033592,0.0,641,17.312661498708,6,0.0,0,frigorifico
s28_g4ab,G4,0.15,0.1,0.985206323790831,1,0,0.006299974,0.0,0.0,0.008493702,0.0,0.0,0.0,331,18.6046511627907,10,0.0,0,frigorifico
s29_g4ab,G4,0.15,0.15,0.987358444275144,1,0,0.00618089,0.0,0.0,0.006460666,0.0,0.0,0.0,113,20.4134366925065,9,0.0,0,frigorifico
s30_g4ab,G4,0.15,0.35,0.988338376469002,1,0,0.005053179,0.0,0.0,0.006608445,0.0,0.0,0.0,200,18.8630490956072,3,0.0,0,frigorifico
s31_g4ab,G4,0.15,0.5,0.987275228949751,1,0,0.00600872,0.0,0.0,0.006716051,0.0,0.0,0.0,121,22.4806201550388,5,0.0,0,frigorifico
s32_g4ab,G4,0.15,0.8,0.977678206336703,1,0,0.01104468,0.0,0.0,0.01127711,0.0,0.01550388,0.0,814,20.1550387596899,4,0.0,0,frigorifico
s33_g5ab,G5,0.3,0.01,0.981851885329282,1,0,0.008219666,0.0,0.01388118,0.009928449,0.0,0.0,0.0,123,31.5245478036176,4,0.0,0,frigorifico
s34_g5ab,G5,0.3,0.034,0.981444417184252,1,0,0.008749087,0.0,0.01471405,0.009806496,0.0,0.0,0.0,157,32.0413436692506,6,0.0,0,frigorifico
s35_g5ab,G5,0.3,0.05,0.981623760557944,1,0,0.008564005,0.0,0.01554692,0.009812235,0.0,0.0,0.0,112,32.2997416020672,5,0.0,0,frigorifico
s36_g5ab,G5,0.3,0.1,0.975639430864564,1,0,0.01187684,0.0,0.01832315,0.01248373,0.0,0.005167959,0.0,540,33.3333333333333,5,0.0,0,frigorifico
s37_g5ab,G5,0.3,0.15,0.973292184789673,1,0,0.01232448,0.0,0.01665741,0.01438334,0.0,0.0129199,0.0,576,35.1421188630491,3,0.0,0,frigorifico
s38_g5ab,G5,0.3,0.35,0.979089997374413,1,0,0.009192424,0.0,0.01582454,0.01171758,0.0,0.0,0.0,221,35.4005167958656,4,0.0,0,frigorifico
s39_g5ab,G5,0.3,0.5,0.977840332746522,1,0,0.01015514,0.0,0.0188784,0.01200453,0.0,0.0,0.0,227,34.8837209302326,5,0.0,0,frigorifico
s40_g5ab,G5,0.3,0.8,0.975844599684069,1,0,0.01115516,0.0,0.02165464,0.01300024,0.0,0.0,0.0,289,35.9173126614987,4,0.0,0,frigorifico
s41_g6ab,G6,0.5,0.01,0.96979283688218,1,0,0.01412508,0.005552471,0.0283176,0.01608208,0.0,0.0,0.0,171,51.421188630491,7,0.0,0,frigorifico
s42_g6ab,G6,0.5,0.034,0.971066892208893,1,0,0.01318676,0.006107718,0.02498612,0.01574635,0.0,0.0,0.0,134,51.1627906976744,4,0.0,0,frigorifico
s43_g6ab,G6,0.5,0.05,0.97054607905169,1,0,0.01379796,0.006662965,0.02748473,0.01565596,0.0,0.0,0.0,135,52.4547803617571,4,0.0,0,frigorifico
s44_g6ab,G6,0.5,0.1,0.96929354492982,1,0,0.01408061,0.005552471,0.02665186,0.01662585,0.0,0.0,0.0,208,53.2299741602067,4,0.0,0,frigorifico
s45_g6ab,G6,0.5,0.15,0.9694470628577,1,0,0.01363297,0.007773459,0.02720711,0.01691997,0.0,0.0,0.0,117,54.2635658914729,4,0.0,0,frigorifico
s46_g6ab,G6,0.5,0.35,0.969877486954563,1,0,0.01365018,0.007218212,0.0283176,0.01647233,0.0,0.0,0.0,150,55.0387596899225,3,0.0,0,frigorifico
s47_g6ab,G6,0.5,0.5,0.965010825166036,1,0,0.01570618,0.004997224,0.02415325,0.019283,0.0,0.0129199,0.0,563,54.5219638242894,4,0.0,0,frigorifico
